patient_id,lead,dom_freq,centroid,spec_entropy,edge95,rms,ptp,n_peaks
188981,V1,3.5,5.354145495050536,4.308405998366931,10.833333333333332,0.0643085162414839,0.5770735736766678,10
188981,V2,1.75,7.073089713527502,4.567570402423656,15.583333333333332,0.2310643234364365,1.9769667230166488,10
188981,V3,1.75,8.164293702649733,4.768896451769535,17.333333333333332,0.210893510933369,2.039461095782052,11
251972,V1,2.1666666666666665,5.930818114688454,4.171063756100013,13.666666666666666,0.3002905708334609,1.968608110862296,0
251972,V2,2.1666666666666665,8.578907743033314,4.726503832491215,17.0,0.1534698322181389,1.1525242801625295,7
251972,V3,2.1666666666666665,8.173591714959917,4.649494121503307,17.083333333333332,0.3119854691964714,2.620194036051724,13
265715,V1,1.25,7.713133852575025,4.585273085030885,17.833333333333332,0.1162860741121381,0.7952114018249326,2
265715,V2,1.25,8.590048348160716,4.698466567824333,21.58333333333333,0.1685103891612322,1.3023239776514703,15
265715,V3,3.833333333333333,11.001825600065098,5.069190130604006,22.666666666666664,0.2670812848353165,2.3319443066859424,15
267628,V1,7.083333333333333,10.08989541350842,4.6093244332057015,21.0,0.2091836769693696,1.627006407988548,0
267628,V2,1.1666666666666663,9.358461312704064,4.455846830952641,20.25,0.1140790891097541,0.8412664313341668,8
267628,V3,4.75,10.227273029086955,4.603176261948835,23.416666666666664,0.2718765012160078,2.216594197193303,14
267630,V1,7.916666666666666,13.120854834932318,5.149715598812646,30.5,0.0783076809196576,0.8700903141845622,4
267630,V2,2.6666666666666665,14.4473252486918,5.152649474441768,33.08333333333333,0.0819140260908698,0.9637514641260329,11
267630,V3,0.5833333333333333,12.409398480725836,5.043787553776814,32.916666666666664,0.1248444975174164,1.5176623504953164,14
286830,V1,1.3333333333333333,10.36712135355533,4.585509897965089,22.58333333333333,0.1580242283550605,1.1593159864963054,0
286830,V2,1.3333333333333333,7.752169594670815,3.947995337939315,20.166666666666664,0.1401309040072653,0.9612145154175468,15
286830,V3,1.3333333333333333,10.58884820500738,4.623763507053213,23.83333333333333,0.0945324087434214,0.8350329381775725,16
287355,V1,3.333333333333333,8.482792723780621,4.459128477033009,18.33333333333333,0.1664162854401655,1.2453867242894274,0
287355,V2,1.0833333333333333,6.758154261099819,4.109411320590096,18.25,0.4070074276537255,3.018735056137804,12
287355,V3,1.0833333333333333,8.582177085251775,4.413724365430477,21.0,0.452903331540761,3.665090695305936,12
